,AnimalType,AgeInDays,Breed,Color
8051,Cat,30,Domestic Shorthair Mix,Black
8052,Dog,365,Miniature Schnauzer/Miniature Poodle,Silver
8053,Cat,60,Domestic Medium Hair Mix,Brown Tabby
8054,Dog,365,German Shepherd Mix,Brown/Black
8055,Dog,730,Pit Bull Mix,Brown Brindle
8056,Cat,365,Domestic Shorthair Mix,Black/White
8057,Cat,90,Domestic Shorthair Mix,Orange Tabby
8058,Cat,210,Domestic Longhair Mix,Tortie
8059,Dog,1095,Australian Shepherd Mix,Black/White
8060,Dog,60,Rat Terrier Mix,Tricolor/White
8061,Dog,2920,American Bulldog Mix,White/Brown Brindle
8062,Cat,60,Domestic Medium Hair Mix,Black/White
8063,Dog,1095,Pit Bull Mix,White
8064,Dog,30,Labrador Retriever Mix,Brown/White
8065,Dog,365,Siberian Husky Mix,Brown/Black
8066,Cat,35,Domestic Shorthair Mix,Orange Tabby/White
8067,Dog,300,American Staffordshire Terrier Mix,Fawn/White
8068,Dog,1095,Chihuahua Shorthair Mix,Sable/White
8069,Dog,1460,Dachshund Mix,Red
8070,Dog,2190,Pit Bull Mix,Black/White
8071,Cat,365,Domestic Shorthair Mix,Orange Tabby
8072,Cat,365,Domestic Shorthair Mix,Brown Tabby/White
8073,Dog,730,Pit Bull Mix,Brown Brindle/White
8074,Dog,1095,Catahoula Mix,White/Tan
8075,Cat,14,Domestic Shorthair Mix,Brown Tabby
8076,Cat,7,Domestic Shorthair Mix,Orange Tabby
8077,Cat,730,Siamese Mix,Flame Point
8078,Dog,730,Labrador Retriever Mix,Black/White
8079,Cat,2190,Siamese Mix,Tortie Point
8080,Dog,300,Golden Retriever/Standard Poodle,Gold
8081,Cat,270,Domestic Shorthair Mix,Black
8082,Dog,730,Chihuahua Shorthair Mix,Brown/Black
8083,Dog,60,Labrador Retriever Mix,Yellow
8084,Dog,90,Chihuahua Shorthair/Beagle,Black/Tan
8085,Dog,1825,Chihuahua Shorthair Mix,Blue/White
8086,Dog,3285,Chihuahua Shorthair Mix,Tricolor
8087,Dog,1095,Flat Coat Retriever Mix,Black
8088,Cat,90,Domestic Shorthair Mix,Brown Tabby
8089,Dog,1095,Toy Poodle Mix,Black
8090,Cat,30,Domestic Longhair Mix,White
8091,Dog,1095,Chihuahua Shorthair Mix,White/Chocolate
8092,Dog,365,Rhod Ridgeback Mix,Brown/White
8093,Cat,3650,Domestic Shorthair Mix,Black/White
8094,Cat,365,Domestic Medium Hair Mix,Brown Tabby
8095,Dog,1095,Great Pyrenees Mix,White
8096,Cat,14,Domestic Shorthair Mix,Tortie
8097,Dog,365,Pit Bull Mix,Brown
8098,Dog,60,Chihuahua Shorthair Mix,White
8099,Dog,150,Rottweiler/German Shepherd,Black/Tan
8100,Cat,14,Domestic Shorthair Mix,Tortie
8101,Dog,150,Australian Cattle Dog/Catahoula,White/Blue Merle
8102,Dog,4380,Cardigan Welsh Corgi Mix,Brown/White
8103,Dog,60,Labrador Retriever Mix,Brown/Black
8104,Dog,3285,Pit Bull,Tan/White
8105,Dog,30,Pit Bull Mix,Brown Brindle/White
8106,Dog,3285,Labrador Retriever/German Shepherd,Buff/White
8107,Dog,365,Miniature Pinscher Mix,Black/Tan
8108,Dog,365,Miniature Pinscher Mix,Brown
8109,Dog,300,Dachshund Mix,Black
8110,Dog,1095,Pit Bull Mix,Brown/White
8111,Cat,365,Domestic Shorthair Mix,Calico
8112,Cat,150,Tonkinese Mix,Chocolate Point
8113,Dog,365,Miniature Poodle Mix,Gray/Cream
8114,Dog,330,Doberman Pinsch Mix,Red/Tan
8115,Dog,300,Soft Coated Wheaten Terrier Mix,Tan/Black
8116,Cat,365,Domestic Longhair Mix,Brown Tabby/White
8117,Cat,730,Siamese Mix,Lynx Point/White
8118,Cat,180,Domestic Shorthair Mix,Black
8119,Dog,150,Labrador Retriever Mix,Brown
8120,Dog,2920,Miniature Poodle Mix,White
8121,Cat,180,Domestic Medium Hair Mix,Cream Tabby
8122,Dog,60,Australian Cattle Dog Mix,White/Brown
8123,Dog,730,Siberian Husky Mix,Black/Brown
8124,Cat,120,Snowshoe Mix,Chocolate Point/White
8125,Dog,300,Labrador Retriever/Boston Terrier,White/Black
8126,Cat,2,Domestic Shorthair Mix,Brown Tabby
8127,Cat,21,Domestic Shorthair Mix,Orange Tabby/White
8128,Cat,14,Domestic Shorthair Mix,Orange Tabby/White
8129,Dog,730,Pit Bull Mix,Chocolate/White
8130,Dog,120,American Bulldog Mix,Brown Brindle
8131,Cat,21,Domestic Shorthair Mix,Blue Tabby/White
8132,Cat,365,Domestic Shorthair Mix,Blue Tabby
8133,Cat,60,Domestic Shorthair Mix,Brown Tabby
8134,Dog,1095,Staffordshire Mix,Fawn
8135,Cat,30,Domestic Shorthair Mix,Black
8136,Cat,90,Domestic Shorthair Mix,Orange Tabby
8137,Dog,60,Labrador Retriever Mix,Tan/Blue
8138,Cat,365,Domestic Shorthair Mix,Black
8139,Dog,1095,Labrador Retriever Mix,Black/White
8140,Dog,730,Dachshund Mix,Red/Red Merle
8141,Dog,365,Chihuahua Shorthair Mix,Black/White
8142,Dog,300,Cardigan Welsh Corgi/Chihuahua Shorthair,Sable/White
8143,Dog,1825,Toy Fox Terrier Mix,Tricolor
8144,Cat,3,Domestic Shorthair Mix,Brown Tabby
8145,Cat,60,Domestic Shorthair Mix,Orange Tabby
8146,Cat,2920,Domestic Shorthair Mix,Brown Tabby
8147,Dog,730,Welsh Springer Spaniel,White/Chocolate
8148,Cat,365,Domestic Shorthair Mix,White/Brown Tabby
8149,Cat,365,Domestic Shorthair Mix,Tortie/Brown
8150,Cat,2190,Domestic Shorthair Mix,Orange Tabby/White
8151,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
8152,Cat,90,Domestic Shorthair Mix,Calico
8153,Cat,60,Domestic Shorthair Mix,Brown Tabby
8154,Cat,1,Domestic Shorthair Mix,Orange Tabby
8155,Cat,3650,Domestic Shorthair Mix,Black/White
8156,Dog,1460,Chihuahua Shorthair/Rat Terrier,Tan
8157,Cat,120,Domestic Shorthair Mix,Brown Tabby
8158,Dog,730,Labrador Retriever Mix,White/Tan
8159,Dog,1095,Labrador Retriever/Boxer,Black/White
8160,Dog,180,Entlebucher Mix,Black/Tan
8161,Dog,730,Rat Terrier Mix,Tricolor
8162,Dog,4380,Miniature Poodle Mix,Gray
8163,Cat,30,Domestic Shorthair Mix,Blue
8164,Dog,180,Chihuahua Shorthair Mix,Black/Tan
8165,Dog,730,West Highland Mix,White
8166,Cat,3,Domestic Shorthair Mix,Brown Tabby/White
8167,Dog,1095,Collie Smooth Mix,Blue Merle/Tan
8168,Dog,4745,Border Collie Mix,Black/White
8169,Dog,365,Miniature Poodle Mix,White/Black
8170,Dog,1460,Labrador Retriever/Beagle,Brown
8171,Dog,365,Chihuahua Shorthair,Tricolor
8172,Cat,7,Domestic Shorthair Mix,Gray/Black
8173,Cat,1825,Himalayan Mix,Tortie Point
8174,Cat,60,Domestic Shorthair Mix,Brown Tabby
8175,Cat,30,Domestic Longhair Mix,Brown Tabby
8176,Dog,1825,Toy Poodle Mix,Apricot
8177,Dog,1460,Australian Cattle Dog Mix,Blue Tick
8178,Cat,730,Domestic Shorthair Mix,Orange Tabby
8179,Dog,1460,Cavalier Span Mix,Black/Tan
8180,Cat,60,Domestic Shorthair Mix,Blue
8181,Dog,30,German Shepherd/Labrador Retriever,Brown/Black
8182,Cat,1825,Domestic Shorthair Mix,Cream Tabby
8183,Dog,1460,Chihuahua Longhair Mix,Brown/Tricolor
8184,Cat,60,Domestic Longhair Mix,Brown Tabby
8185,Cat,60,Domestic Shorthair Mix,Cream Tabby
8186,Cat,210,Domestic Medium Hair Mix,Brown Tabby
8187,Cat,730,Domestic Shorthair Mix,Brown Tabby
8188,Cat,90,Domestic Shorthair Mix,Orange Tabby
8189,Dog,1095,Chihuahua Shorthair Mix,Tan/White
8190,Dog,4745,Chow Chow Mix,Fawn
8191,Cat,60,Domestic Shorthair Mix,Black
8192,Cat,365,Domestic Shorthair Mix,Torbie
8193,Dog,3285,Pit Bull Mix,Fawn/White
8194,Dog,30,Chihuahua Shorthair/Cairn Terrier,Black
8195,Dog,365,Dachshund/Australian Cattle Dog,White/Brown
8196,Cat,1825,Domestic Shorthair Mix,Orange Tabby
8197,Dog,1095,Dachshund Mix,Black/Tan
8198,Dog,2555,Rat Terrier Mix,Tricolor
8199,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
8200,Dog,1095,Labrador Retriever/Pointer,Chocolate/White
8201,Dog,365,Labrador Retriever/Chinese Sharpei,Black/White
8202,Dog,1825,Pit Bull Mix,Tan/White
8203,Dog,30,Flat Coat Retriever/Pit Bull,Buff/White
8204,Dog,150,Australian Cattle Dog Mix,Blue Merle/Tan
8205,Cat,28,Domestic Shorthair Mix,Black
8206,Dog,60,Black Mouth Cur Mix,Brown
8207,Dog,1095,Pit Bull Mix,Blue/White
8208,Dog,730,German Shepherd Mix,Black/Tan
8209,Dog,365,Yorkshire Terrier Mix,Black/Tan
8210,Cat,730,Domestic Shorthair Mix,Brown Tabby
8211,Dog,1460,Siberian Husky Mix,Sable/Cream
8212,Dog,365,Pit Bull Mix,White/Blue
8213,Dog,365,German Shepherd/Black/Tan Hound,Black/Tan
8214,Dog,3285,Pit Bull Mix,White/Brown
8215,Dog,365,Chihuahua Shorthair Mix,White/Tan
8216,Cat,1095,Bengal Mix,Brown Tabby
8217,Cat,365,Domestic Shorthair Mix,Brown Tabby
8218,Cat,28,Domestic Shorthair Mix,Torbie
8219,Dog,730,Shih Tzu Mix,White/Tan
8220,Dog,365,Plott Hound Mix,Yellow Brindle/White
8221,Dog,1095,Australian Cattle Dog Mix,Tricolor
8222,Dog,90,Miniature Pinscher/Chihuahua Shorthair,Tricolor
8223,Dog,365,Australian Cattle Dog Mix,Sable
8224,Cat,1,Domestic Shorthair Mix,Torbie
8225,Cat,60,Domestic Shorthair Mix,Brown Tabby
8226,Dog,150,Miniature Schnauzer Mix,Black/Brown
8227,Dog,1460,Dachshund Mix,Red/Brown
8228,Dog,60,Beagle Mix,Tan/White
8229,Dog,180,German Shepherd Mix,Brown Brindle
8230,Cat,21,Domestic Shorthair Mix,Brown Tabby
8231,Cat,14,Domestic Shorthair Mix,Black Tabby/White
8232,Dog,1460,Chihuahua Shorthair Mix,Brown/White
8233,Cat,60,Domestic Medium Hair Mix,Brown Tabby
8234,Dog,1095,Australian Cattle Dog Mix,Tricolor
8235,Cat,240,Domestic Shorthair Mix,Brown Tabby
8236,Cat,120,Domestic Shorthair Mix,Brown Tabby
8237,Cat,60,Domestic Shorthair Mix,Brown Tabby
8238,Dog,730,German Shepherd,Black/Brown
8239,Cat,4745,Domestic Longhair Mix,Black
8240,Dog,1095,Chihuahua Shorthair Mix,White
8241,Dog,2190,Harrier Mix,Tricolor
8242,Dog,730,Catahoula Mix,Blue Merle/Tan
8243,Dog,210,Standard Poodle,Apricot
8244,Cat,730,Domestic Shorthair Mix,Torbie/White
8245,Dog,1095,Boxer Mix,Brown/White
8246,Cat,14,Domestic Shorthair Mix,Brown Tabby
8247,Cat,60,Domestic Shorthair Mix,Blue Tabby/White
8248,Dog,1095,Australian Cattle Dog Mix,Red Merle
8249,Cat,730,Domestic Shorthair Mix,Tortie
8250,Dog,180,Rottweiler Mix,Black/White
8251,Dog,3650,Boxer Mix,Fawn
8252,Cat,365,Domestic Shorthair Mix,Black
8253,Dog,730,Shih Tzu Mix,White/Brown
8254,Dog,730,Golden Retriever/Chow Chow,Red/White
8255,Cat,60,Domestic Shorthair Mix,Brown Tabby
8256,Dog,730,Dalmatian Mix,Black/White
8257,Dog,1095,Lhasa Apso/West Highland,Tricolor
8258,Cat,21,Domestic Shorthair Mix,Brown Tabby
8259,Cat,730,Domestic Shorthair Mix,Blue Tabby
8260,Dog,60,Pointer/American Pit Bull Terrier,White
8261,Dog,1460,Beagle/Cocker Spaniel,Black/White
8262,Cat,60,Domestic Shorthair Mix,Blue
8263,Cat,60,Domestic Shorthair Mix,Calico
8264,Cat,3,Domestic Shorthair Mix,Brown Tabby/White
8265,Dog,365,Pit Bull Mix,Tan/White
8266,Cat,365,Maine Coon Mix,Brown Tabby
8267,Cat,1825,Domestic Shorthair Mix,Brown Tabby
8268,Dog,60,Anatol Shepherd Mix,Silver/Black
8269,Dog,1095,Border Collie Mix,Tricolor
8270,Dog,365,Beagle/Black Mouth Cur,Brown/Black
8271,Cat,270,Domestic Medium Hair Mix,Torbie
8272,Dog,365,Chihuahua Shorthair Mix,Tan/White
8273,Dog,730,Chihuahua Longhair Mix,Black/Tan
8274,Cat,2,Domestic Shorthair Mix,Brown Tabby
8275,Dog,365,Labrador Retriever Mix,Black/White
8276,Cat,4,Domestic Shorthair Mix,Black
8277,Dog,180,Carolina Dog Mix,Tan/White
8278,Cat,1095,Domestic Longhair Mix,Blue
8279,Dog,30,Labrador Retriever/Plott Hound,Black Brindle/White
8280,Cat,90,Domestic Shorthair Mix,Blue
8281,Dog,60,Carolina Dog Mix,Red
8282,Dog,210,Miniature Schnauzer Mix,Black/Gray
8283,Cat,180,Domestic Shorthair Mix,Brown Tabby
8284,Cat,60,Domestic Medium Hair Mix,Black
8285,Cat,120,Domestic Shorthair Mix,Tortie
8286,Cat,4015,Domestic Shorthair Mix,Black/White
8287,Cat,28,Domestic Shorthair Mix,Blue Tabby
8288,Dog,365,Border Collie Mix,White/Black
8289,Dog,365,Chihuahua Shorthair Mix,Red/White
8290,Dog,2190,Labrador Retriever Mix,Chocolate
8291,Cat,90,Domestic Medium Hair Mix,Silver Tabby/White
8292,Cat,365,Domestic Shorthair Mix,White
8293,Cat,730,Domestic Shorthair Mix,Brown Tabby
8294,Dog,2555,Lhasa Apso Mix,White/Tan
8295,Cat,365,Domestic Shorthair Mix,Brown Tabby/White
8296,Cat,365,Domestic Shorthair Mix,Calico
8297,Dog,730,Labrador Retriever Mix,Black
8298,Cat,730,Domestic Shorthair Mix,White/Blue
8299,Cat,120,Domestic Shorthair Mix,Brown Tabby/White
8300,Cat,21,Domestic Shorthair Mix,Orange Tabby
8301,Cat,14,Domestic Medium Hair Mix,Black/Black Tabby
8302,Dog,365,Cairn Terrier Mix,Tan/Brown
8303,Cat,1460,Domestic Longhair Mix,White
8304,Dog,1460,Manchester Terrier Mix,Black/Tan
8305,Cat,90,Domestic Shorthair Mix,Black
8306,Cat,730,Domestic Shorthair Mix,Brown Tabby
8307,Cat,60,Domestic Medium Hair Mix,Calico
8308,Cat,90,Domestic Shorthair Mix,Black
8309,Dog,365,German Shepherd Mix,Black/Brown
8310,Cat,365,Domestic Shorthair Mix,Torbie
8311,Dog,60,Australian Shepherd Mix,Brown Merle/White
8312,Cat,7,Domestic Shorthair Mix,Black/White
8313,Cat,180,Domestic Shorthair Mix,Tortie
8314,Cat,21,Domestic Shorthair Mix,Orange Tabby
8315,Cat,365,Domestic Shorthair Mix,Blue
8316,Dog,365,Labrador Retriever/German Shepherd,Black/White
8317,Cat,60,Manx Mix,Black
8318,Cat,2,Domestic Shorthair Mix,Black/White
8319,Cat,30,Domestic Shorthair Mix,Brown Tabby/Gray
8320,Dog,1095,Australian Kelpie Mix,Blue
8321,Cat,730,Domestic Longhair Mix,Torbie
8322,Dog,1460,Chihuahua Shorthair Mix,Tan/Tan
8323,Dog,730,Golden Retriever Mix,Red
8324,Cat,21,Domestic Shorthair Mix,Brown Tabby
8325,Cat,90,Domestic Shorthair Mix,Orange Tabby
8326,Dog,90,Labrador Retriever Mix,Black/White
8327,Cat,180,Domestic Shorthair Mix,Black/White
8328,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
8329,Cat,2920,Domestic Shorthair Mix,Tortie
8330,Dog,2190,German Shepherd Mix,Black
8331,Cat,730,Domestic Shorthair Mix,Black/White
8332,Cat,4,Domestic Shorthair Mix,Black/White
8333,Cat,7,Domestic Shorthair Mix,Black/White
8334,Cat,1460,Domestic Shorthair Mix,Tortie
8335,Dog,730,Chihuahua Shorthair Mix,Buff
8336,Dog,30,English Coonhound/Border Collie,Red/White
8337,Dog,60,Chesa Bay Retr Mix,Chocolate
8338,Cat,21,Domestic Shorthair Mix,Brown Tabby/White
8339,Cat,3285,Domestic Shorthair Mix,Brown Tabby/White
8340,Dog,270,Plott Hound/Labrador Retriever,Black/Brown Brindle
8341,Dog,1095,Pit Bull Mix,Brown/Black
8342,Dog,1460,Bull Terrier Mix,White/Black
8343,Cat,90,Domestic Shorthair Mix,Black
8344,Cat,1095,Domestic Shorthair Mix,Blue Tabby/White
8345,Cat,21,Domestic Medium Hair Mix,Blue Tabby/White
8346,Cat,90,Domestic Longhair Mix,Brown Tabby
8347,Cat,150,Domestic Shorthair Mix,Brown Tabby
8348,Dog,365,Labrador Retriever/German Shepherd,Black
8349,Dog,1095,Golden Retriever Mix,Red
8350,Cat,21,Domestic Shorthair Mix,Black
8351,Cat,1095,Domestic Shorthair Mix,Orange Tabby/White
8352,Dog,365,Boston Terrier Mix,Black/White
8353,Cat,30,Domestic Shorthair Mix,Tortie
8354,Dog,180,Border Collie Mix,White/Black
8355,Dog,90,American Bulldog/Schnauzer Giant,White/Black
8356,Dog,2555,Dogo Argentino/Labrador Retriever,White/Brown
8357,Dog,1095,Chihuahua Shorthair Mix,Brown/White
8358,Dog,365,Boston Terrier Mix,Brown Brindle/White
8359,Cat,365,Domestic Shorthair Mix,Blue Tabby
8360,Cat,90,Domestic Shorthair Mix,Black
8361,Dog,240,German Shepherd,Black/Tan
8362,Dog,1460,Siberian Husky,Gray/White
8363,Dog,3650,Queensland Heeler Mix,Blue Tick/Brown
8364,Dog,120,Labrador Retriever Mix,Black/White
8365,Dog,60,Labrador Retriever Mix,Black
8366,Cat,120,Domestic Shorthair Mix,Orange Tabby/White
8367,Dog,365,Miniature Schnauzer Mix,Black/White
8368,Dog,60,Dachshund Wirehair Mix,Brown
8369,Dog,4015,Rat Terrier Mix,Black/White
8370,Cat,60,Domestic Shorthair Mix,Black
8371,Cat,60,Domestic Shorthair Mix,Brown Tabby
8372,Dog,270,Chow Chow/Pit Bull,Cream
8373,Cat,21,Domestic Shorthair Mix,Brown Tabby/White
8374,Cat,1825,Domestic Longhair Mix,White
8375,Dog,730,Pit Bull Mix,Brown Brindle/White
8376,Dog,730,Dachshund Wirehair Mix,Black/Brown
8377,Dog,1825,Labrador Retriever Mix,Red/White
8378,Dog,210,German Shepherd Mix,Black/Tan
8379,Cat,365,Domestic Shorthair Mix,Calico
8380,Cat,60,Domestic Shorthair Mix,Blue Tabby
8381,Cat,365,Domestic Shorthair Mix,Black/White
8382,Dog,1095,Beagle Mix,Tricolor
8383,Dog,330,Miniature Schnauzer Mix,Black
8384,Dog,1095,Chihuahua Shorthair Mix,White/Red
8385,Dog,1460,German Shepherd/Great Dane,Sable/Tan
8386,Dog,1825,Labrador Retriever Mix,Black
8387,Cat,730,Domestic Shorthair Mix,Brown Tabby
8388,Dog,120,Pit Bull Mix,Brown/White
8389,Dog,60,Labrador Retriever Mix,Cream
8390,Cat,30,Domestic Longhair Mix,Blue
8391,Cat,3285,Domestic Shorthair Mix,Cream Tabby
8392,Cat,30,Domestic Shorthair Mix,Brown Tabby
8393,Cat,365,Domestic Longhair Mix,Silver Tabby
8394,Dog,2,Labrador Retriever Mix,Black/White
8395,Cat,730,Manx Mix,Tortie
8396,Cat,2555,Domestic Shorthair Mix,Brown Tabby
8397,Cat,3,Domestic Shorthair Mix,Black/White
8398,Cat,60,Domestic Shorthair Mix,White/Orange Tabby
8399,Dog,1095,Shih Tzu Mix,Tricolor
8400,Cat,150,Domestic Shorthair Mix,Chocolate/Black Smoke
8401,Dog,60,English Pointer Mix,Black/White
8402,Dog,180,Miniature Schnauzer/Miniature Poodle,Black
8403,Dog,2555,Australian Shepherd Mix,Red Merle/White
8404,Dog,730,Pit Bull Mix,Black/White
8405,Dog,240,Australian Kelpie Mix,Brown/White
8406,Cat,90,Domestic Shorthair Mix,White/Blue Tabby
8407,Dog,1460,Pit Bull Mix,White/Brown
8408,Cat,300,Domestic Shorthair Mix,Calico
8409,Cat,14,Domestic Shorthair Mix,Brown Tabby
8410,Dog,90,American Pit Bull Terrier Mix,Brown/White
8411,Cat,60,Domestic Shorthair Mix,Brown Tabby
8412,Dog,730,Chihuahua Longhair Mix,Black
8413,Cat,21,Siamese Mix,Lynx Point
8414,Cat,365,Domestic Shorthair Mix,Black/White
8415,Cat,365,Domestic Shorthair Mix,Black/White
8416,Cat,730,Domestic Longhair Mix,Black/White
8417,Dog,30,Plott Hound Mix,Black/Brown Brindle
8418,Dog,365,Labrador Retriever Mix,Black
8419,Dog,60,Weimaraner/Pit Bull,Fawn/White
8421,Dog,5110,Pekingese Mix,White
8422,Cat,1095,Domestic Shorthair Mix,Blue Tabby/White
8423,Dog,210,Rottweiler,Black/Brown
8424,Cat,1460,Domestic Medium Hair Mix,Orange Tabby
8425,Cat,1825,Domestic Shorthair Mix,Calico Point
8426,Cat,28,Domestic Shorthair Mix,Black
8427,Cat,90,Domestic Shorthair Mix,Torbie/White
8428,Cat,14,Domestic Shorthair Mix,Orange Tabby/White
8429,Cat,730,Domestic Shorthair Mix,Orange Tabby
8430,Cat,90,Domestic Shorthair Mix,Calico
8431,Cat,730,Domestic Shorthair Mix,Cream Tabby/White
8432,Cat,1095,Domestic Medium Hair Mix,Orange Tabby/White
8433,Dog,730,Basset Hound/English Pointer,Chocolate/White
8434,Dog,210,Labrador Retriever Mix,Tan/White
8435,Dog,180,Vizsla/Golden Retriever,Red/White
8436,Cat,4380,Domestic Longhair Mix,White
8437,Dog,60,Pit Bull Mix,Brown/White
8438,Cat,60,Domestic Shorthair Mix,Calico
8439,Cat,90,Domestic Shorthair Mix,White/Brown Tabby
8440,Dog,120,Labrador Retriever Mix,Red/White
8441,Cat,28,Domestic Shorthair Mix,Black/White
8442,Cat,30,Domestic Shorthair Mix,Blue/White
8443,Cat,90,Domestic Shorthair Mix,Brown Tabby
8444,Dog,30,Labrador Retriever Mix,Black/White
8445,Dog,1825,Chihuahua Shorthair Mix,Black/White
8446,Cat,365,Domestic Shorthair Mix,Brown Tabby/White
8447,Dog,2555,Labrador Retriever Mix,Red
8448,Cat,180,Domestic Shorthair Mix,Brown Tabby
8449,Dog,60,Labrador Retriever/Pit Bull,Black/White
8450,Dog,365,Staffordshire Mix,White/Tan
8451,Cat,210,Domestic Shorthair Mix,Black
8452,Dog,730,Chinese Sharpei,Brown
8453,Dog,365,Border Collie,Black/Tan
8454,Dog,365,Chihuahua Shorthair Mix,White/Black
8455,Cat,60,Domestic Shorthair Mix,Tortie
8456,Dog,60,Dachshund Longhair Mix,Tan
8457,Cat,1825,Domestic Shorthair Mix,Calico
8458,Dog,150,Great Pyrenees Mix,White
8459,Dog,365,Beagle/Dachshund,White/Brown
8460,Dog,365,Chinese Sharpei Mix,Tan/White
8461,Cat,365,Domestic Shorthair Mix,White/White
8462,Dog,60,Australian Shepherd Mix,Red/Black
8463,Dog,1095,Yorkshire Terrier Mix,Tan/Black
8464,Cat,7,Domestic Shorthair Mix,Brown/Black Tabby
8465,Dog,4745,Yorkshire Terrier Mix,Tricolor
8466,Cat,730,Domestic Medium Hair Mix,Black/White
8467,Dog,730,American Bulldog/Labrador Retriever,White/Brown
8468,Dog,4380,Chihuahua Shorthair Mix,Black
8469,Dog,60,Labrador Retriever Mix,Cream
8470,Dog,90,Labrador Retriever Mix,Yellow
8471,Cat,60,Domestic Medium Hair Mix,White/Blue
8472,Dog,2190,Chesa Bay Retr Mix,Chocolate
8473,Cat,14,Domestic Shorthair Mix,Torbie
8474,Dog,180,Labrador Retriever/Border Collie,Black/White
8475,Cat,60,Domestic Longhair Mix,Orange Tabby
8476,Dog,240,Anatol Shepherd/Redbone Hound,Red/Black
8477,Dog,365,German Shepherd Mix,White
8478,Dog,730,Chihuahua Shorthair/Dachshund,White/Tan
8479,Cat,60,Domestic Medium Hair Mix,Orange Tabby
8480,Dog,300,Labrador Retriever Mix,Black
8481,Dog,1095,Dachshund Mix,Red
8482,Dog,730,Pembroke Welsh Corgi,Sable/White
8483,Dog,365,Chihuahua Shorthair Mix,White/Tan
8484,Dog,300,Whippet Mix,White/Brown Merle
8485,Dog,180,Boxer Mix,Black
8486,Cat,14,Domestic Shorthair Mix,Tortie
8487,Cat,4380,Domestic Longhair Mix,Blue Tabby/White
8488,Cat,60,Domestic Shorthair Mix,Torbie
8489,Cat,30,Siamese Mix,Lynx Point
8490,Cat,2920,Domestic Shorthair Mix,Brown Tabby
8491,Dog,1460,Labrador Retriever Mix,Black/White
8492,Cat,210,Domestic Shorthair Mix,Calico
8493,Dog,730,Yorkshire Terrier Mix,Tan
8494,Dog,120,Catahoula Mix,Tan/White
8495,Cat,60,Domestic Longhair Mix,Black/White
8496,Cat,21,Domestic Shorthair Mix,Orange Tabby
8497,Cat,730,Domestic Shorthair Mix,Orange Tabby/White
8498,Dog,60,Manchester Terrier/Dachshund,Tricolor
8499,Dog,2190,Pit Bull,White/Tan
8500,Dog,1825,American Pit Bull Terrier,Brown
8501,Dog,730,Australian Cattle Dog Mix,Blue Merle
8502,Cat,365,Domestic Shorthair Mix,White/Black
8503,Dog,120,Border Collie/Queensland Heeler,Black/White
8504,Dog,730,Jack Russell Terrier/Pointer,White/Brown
8505,Dog,365,Chihuahua Shorthair Mix,Red/White
8506,Dog,1460,Pit Bull Mix,Black/White
8507,Cat,7,Domestic Shorthair Mix,Orange Tabby/White
8508,Cat,90,Domestic Shorthair Mix,Tortie
8509,Dog,365,Chihuahua Longhair Mix,Brown
8510,Dog,270,Border Collie Mix,Tricolor
8511,Cat,730,Domestic Medium Hair Mix,Brown Tabby/White
8512,Dog,30,German Shepherd Mix,Black/Brown
8513,Dog,4015,Catahoula Mix,Blue Merle
8514,Cat,330,Domestic Shorthair,Blue
8515,Cat,60,Domestic Shorthair Mix,Brown Tabby
8516,Dog,2190,Australian Cattle Dog/Beagle,Blue Tick/Black
8517,Cat,730,Himalayan Mix,Seal Point
8518,Cat,365,Domestic Shorthair Mix,Cream Tabby
8519,Cat,120,Domestic Shorthair Mix,Torbie
8520,Dog,1095,Pit Bull Mix,Brown Brindle/White
8521,Dog,730,Australian Cattle Dog Mix,Red Tick
8522,Cat,90,Domestic Shorthair Mix,Blue Tabby
8523,Cat,90,Domestic Shorthair Mix,Brown Tabby
8524,Dog,730,Pit Bull Mix,Brown
8525,Dog,730,Lhasa Apso Mix,Gray/White
8526,Dog,730,Pit Bull Mix,Blue/White
8527,Dog,730,Beagle Mix,White/Red
8528,Cat,180,Domestic Shorthair Mix,Black
8529,Dog,300,Pit Bull Mix,Blue
8530,Dog,1095,Chihuahua Shorthair/Dachshund,Brown/White
8531,Dog,1095,Australian Cattle Dog,Black/Tan
8532,Cat,60,Domestic Shorthair Mix,White
8533,Dog,730,Great Pyrenees Mix,White/Buff
8534,Cat,365,Domestic Shorthair Mix,Black Smoke
8535,Cat,60,Domestic Shorthair Mix,White/Blue
8536,Dog,365,Golden Retriever Mix,Red
8537,Cat,365,Domestic Shorthair Mix,Black
8538,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
8539,Dog,60,Doberman Pinsch Mix,Chocolate/Tan
8540,Cat,2920,Domestic Shorthair Mix,Black
8541,Cat,365,Domestic Shorthair Mix,Brown Tabby/White
8542,Dog,730,Chihuahua Shorthair Mix,Tricolor
8543,Dog,2190,German Shepherd/Chow Chow,Brown/Black
8544,Dog,365,Pit Bull Mix,Black/White
8545,Dog,730,Labrador Retriever Mix,Black/Brown
8546,Dog,730,Chihuahua Shorthair Mix,White/Buff
8547,Dog,730,Australian Cattle Dog/Chow Chow,White/Tan
